1,4,4,1,1,2,2,2,1,4,2,2,1,4,4,2,1,3,2,2,4,1,3,4,2,1,2,1,1,1,2,2,2,2,2,3,1,4,2,4,3,4,3
2,2,1,3,2,4,3,3,2,3,2,2,3,1,1,3,1,4,1,3,3,1,2,4,3,3,1,1,2,1,1,1,2,4,1,4,3,2,4,4,1,1,3
3,12,4,1,3,1,1,4,3,2,4,3,1,3,1,3,3,2,2,4,2,1,4,4,2,1,1,3,1,2,2,1,4,1,3,2,3,1,3,2,3,1,4
4,1,2,3,4,2,4,2,1,2,4,3,4,2,3,1,3,2,1,2,1,1,4,4,4,3,3,3,1,1,4,2,1,3,3,4,4,1,4,1,1,2,3
5,13,2,2,2,2,2,2,2,3,1,2,4,4,4,3,1,3,3,3,1,3,2,2,3,2,3,4,1,4,3,3,3,3,4,3,2,4,4,4,3,2,4
6,12,2,3,2,4,1,3,2,4,4,3,3,3,4,2,3,1,2,2,3,4,2,2,1,2,2,3,4,1,3,1,1,3,4,1,1,2,4,4,2,1,2
7,12,3,2,3,1,2,2,2,3,4,3,2,2,2,2,4,1,1,3,4,1,1,2,1,3,2,4,3,3,1,3,1,2,1,4,1,2,1,4,4,2,4
8,17,4,2,4,1,4,3,4,4,4,4,4,4,3,4,4,4,1,4,1,2,1,1,2,2,1,3,1,1,1,1,3,3,4,4,3,1,4,4,3,3,1
9,15,2,1,1,4,1,2,3,4,1,4,2,2,4,4,2,4,4,2,4,2,2,4,4,1,2,2,1,1,3,2,2,3,2,3,4,2,3,4,4,1,4
10,2,1,1,2,1,2,1,3,4,2,3,2,4,4,2,2,2,3,4,3,3,2,3,3,3,1,1,3,3,3,3,4,1,1,2,4,1,4,1,2,1,4
11,4,3,3,3,3,2,3,3,3,1,4,4,4,3,3,3,2,1,3,2,1,2,1,2,3,4,3,2,1,1,4,2,1,4,2,2,1,4,3,2,3,1
12,6,1,2,2,4,1,2,2,3,3,2,2,2,1,2,3,2,3,2,2,2,4,2,3,2,1,4,3,1,3,2,2,1,1,4,4,2,4,1,3,3,2
13,4,2,1,3,4,3,3,4,1,3,4,4,3,4,2,1,3,1,2,1,1,2,2,1,2,2,1,1,3,1,1,4,2,3,1,2,2,2,3,1,1,1
14,11,3,1,2,1,3,2,3,4,4,1,4,3,1,1,2,2,2,3,3,2,2,1,2,2,3,2,3,3,4,3,1,2,3,1,3,4,4,4,4,3,3
15,12,2,4,1,3,2,4,3,2,3,3,2,1,1,3,4,3,4,4,3,4,3,3,4,3,4,1,3,1,2,3,4,4,3,1,2,2,3,2,2,4,3
16,4,4,2,2,4,3,2,1,4,1,4,1,2,4,1,4,1,2,3,3,4,1,2,4,2,1,1,4,1,3,1,1,3,2,1,4,3,2,3,4,2,1
17,14,2,2,3,1,3,1,1,4,3,4,3,1,3,1,1,4,1,3,3,1,2,4,4,2,4,3,4,4,4,4,1,1,1,4,4,4,2,1,4,2,2
18,12,1,1,1,3,1,3,1,4,4,3,4,3,1,3,3,4,4,1,4,2,2,4,3,3,2,2,2,4,1,2,4,3,1,4,2,2,2,2,2,4,1
19,13,2,2,1,2,1,3,4,2,1,1,3,1,1,2,3,4,3,4,4,2,4,1,2,4,1,4,1,1,4,3,3,4,4,1,3,1,4,2,2,1,1
20,2,3,2,1,3,3,1,1,2,4,4,2,1,4,4,3,4,1,3,1,2,3,4,3,2,3,3,3,1,4,1,1,3,4,4,1,3,4,3,3,4,2
21,9,4,3,3,1,3,1,4,4,4,1,4,4,3,1,2,4,2,1,4,2,3,1,3,2,3,4,3,4,3,4,1,1,4,2,3,1,3,2,4,4,2
22,15,3,4,2,4,3,4,1,2,1,2,4,1,2,2,1,1,3,1,1,1,2,1,3,2,3,3,1,2,2,1,4,1,1,3,2,3,3,4,3,2,3
23,10,2,2,1,1,1,1,1,1,3,2,2,3,2,2,3,1,2,2,3,1,4,3,4,4,2,3,2,2,1,3,2,2,1,3,2,3,3,1,2,1,1
24,9,2,1,3,2,4,2,1,1,4,1,4,2,3,4,3,1,3,4,4,1,3,1,3,2,1,1,1,1,4,1,3,3,1,4,2,4,1,1,4,3,3
25,8,3,3,4,1,2,2,3,2,4,1,3,4,2,1,4,1,2,4,2,3,4,4,1,2,1,1,1,2,4,1,2,3,4,3,1,2,2,3,1,3,1
26,8,1,2,3,4,2,2,2,2,4,2,1,1,2,2,3,3,3,4,2,3,2,4,4,1,2,3,4,3,2,4,3,3,4,1,3,1,1,3,2,3,4
27,13,2,3,4,3,3,2,2,4,1,4,1,2,4,2,4,2,2,1,3,1,1,1,2,2,4,4,3,4,2,3,4,3,3,1,3,4,2,4,1,2,1
28,10,3,3,2,4,4,1,2,1,3,3,1,1,4,3,3,3,2,4,2,2,4,4,3,3,2,3,4,1,3,1,3,2,1,4,4,2,4,4,1,2,3
29,14,2,1,1,3,3,3,2,4,4,1,4,3,4,3,3,3,4,4,1,3,1,2,1,1,2,1,4,2,4,2,3,4,4,1,1,1,4,1,4,4,1
30,7,3,2,4,4,4,1,3,4,1,2,4,3,4,2,4,1,4,2,4,1,4,2,4,4,2,3,2,4,4,4,2,2,1,2,1,2,1,2,4,4,3
31,12,2,2,2,4,2,3,1,4,3,1,3,2,4,3,1,1,2,3,4,1,4,1,4,4,2,4,3,2,2,3,2,1,1,4,1,3,1,4,3,1,1
32,12,1,4,2,2,1,2,3,4,4,4,1,2,1,3,1,4,4,2,3,3,1,4,2,3,2,1,3,3,2,2,2,1,3,2,3,3,2,3,1,3,4
33,12,4,4,3,2,3,2,2,4,3,2,1,1,4,4,1,2,3,4,1,4,3,3,4,3,2,2,2,2,4,3,1,3,3,1,1,3,2,3,4,1,4
34,1,1,2,2,2,2,2,4,4,3,3,1,1,2,3,3,3,1,2,2,4,4,2,4,2,1,3,2,3,1,1,3,3,3,2,3,2,4,1,4,2,1
35,3,2,2,3,3,4,1,3,2,1,4,3,3,4,3,2,1,3,4,3,4,1,2,1,3,2,3,3,2,1,4,2,2,4,1,1,1,1,3,3,4,4
36,10,3,1,3,3,4,1,1,3,3,2,2,4,2,1,1,1,3,4,4,4,4,1,2,3,1,1,4,2,4,1,2,3,1,2,3,3,2,1,2,3,3
37,13,2,2,2,1,3,3,4,3,2,1,3,3,3,3,1,1,4,4,3,4,3,1,4,1,3,2,4,4,2,3,1,3,1,3,2,2,1,1,2,4,4
38,15,3,1,1,4,2,2,4,4,2,3,2,2,1,2,2,3,1,4,3,2,4,4,1,4,2,4,1,2,1,1,4,2,3,4,3,2,4,2,3,2,3
39,5,2,2,3,1,2,3,2,4,1,4,1,2,4,2,3,4,3,3,4,3,3,1,4,4,4,3,2,1,1,2,4,1,1,1,2,4,2,2,2,1,2
40,8,1,3,1,1,1,1,1,1,4,2,1,3,4,4,3,4,2,4,1,2,3,3,1,1,1,1,4,4,2,3,2,3,4,4,1,4,1,1,4,4,2
41,3,2,3,3,1,4,1,1,1,3,1,1,1,3,3,1,2,4,2,4,1,2,2,3,4,1,4,2,3,2,1,4,2,3,4,1,4,1,1,1,1,4
42,4,3,1,1,1,1,1,4,3,3,3,2,1,1,4,1,2,2,3,4,3,3,1,3,3,1,1,4,1,3,4,3,2,4,4,3,4,1,3,3,2,2
43,16,4,4,1,3,1,1,3,4,1,2,3,2,3,1,3,3,1,4,3,4,2,1,3,1,4,4,4,1,3,4,3,3,2,2,2,1,1,4,3,3,2
44,15,4,3,3,1,4,4,4,4,3,2,2,2,2,3,2,3,1,4,2,2,2,3,2,3,2,1,4,3,3,1,2,4,1,4,1,1,4,3,4,1,2
45,6,1,1,2,4,3,1,3,1,2,3,2,1,1,3,4,4,4,4,2,2,2,3,1,4,2,2,2,1,3,2,3,1,4,2,1,1,1,3,2,2,4
46,12,2,1,1,1,1,2,3,3,4,3,4,1,4,4,2,3,2,1,3,1,3,3,4,3,3,2,4,2,2,4,1,4,3,3,3,4,2,1,1,1,3
47,3,4,3,2,1,2,2,3,2,2,2,4,2,2,4,4,4,1,1,1,4,4,1,3,4,3,4,2,4,2,2,4,4,2,3,3,3,4,3,3,1,4
48,2,2,3,3,1,2,1,3,1,4,1,3,1,1,2,1,4,4,4,1,2,4,2,1,2,3,3,4,4,4,4,4,1,3,4,3,2,3,2,2,4,2
49,1,4,1,1,2,2,4,1,1,2,3,3,2,4,3,3,1,4,1,1,3,2,2,2,3,2,1,4,4,4,1,4,4,3,4,3,1,2,2,3,4,1
50,7,2,3,3,4,3,2,3,2,2,3,1,3,4,1,2,2,3,1,3,4,2,2,4,1,2,4,2,3,3,2,3,2,3,3,4,3,3,2,4,1,1
51,15,4,2,1,1,3,2,3,3,1,1,1,3,2,2,3,2,1,4,1,3,1,3,1,1,4,1,4,4,2,4,3,3,3,2,1,2,1,3,3,2,2
52,1,1,2,1,4,2,3,3,2,1,4,1,4,1,4,1,4,4,4,4,1,2,1,1,2,4,3,2,4,2,2,3,2,1,3,2,1,1,4,2,1,3
53,13,3,2,1,1,1,2,3,2,2,3,1,4,2,1,2,4,2,4,3,3,2,2,4,1,3,3,1,4,4,2,4,4,4,4,2,4,3,2,2,4,1
54,8,4,1,1,1,1,4,3,3,2,2,3,3,4,3,1,4,4,2,4,1,4,1,3,1,2,4,3,4,2,4,4,4,4,3,4,1,4,4,2,1,2
55,10,4,1,1,2,1,4,2,1,4,1,4,3,3,4,2,1,2,2,3,3,1,1,2,3,4,1,3,4,3,1,1,4,1,2,4,3,2,3,2,3,1
56,3,4,3,1,2,4,1,3,3,3,1,3,2,1,2,3,1,4,4,1,2,4,4,4,4,3,3,3,2,1,1,2,4,4,3,3,4,1,4,3,4,2
57,16,2,4,3,3,4,2,2,4,2,3,1,2,1,4,1,1,2,3,1,2,2,3,2,2,4,4,2,2,1,1,4,1,3,1,3,2,1,1,2,3,4
58,13,3,4,2,1,3,4,2,3,4,4,2,2,1,2,4,4,4,1,3,4,2,3,3,1,1,4,4,4,4,2,2,1,2,2,2,4,2,2,2,2,2
59,4,2,3,1,1,3,3,1,2,3,2,1,1,4,4,2,3,1,2,3,4,1,2,3,3,2,2,3,1,4,2,2,1,1,3,1,3,3,1,3,3,2
60,13,1,3,4,3,3,3,1,4,4,1,2,1,3,4,4,3,2,3,1,1,2,4,3,2,1,3,2,2,1,3,2,3,1,2,2,4,2,3,2,3,4
61,10,3,4,2,1,2,2,2,2,2,2,1,1,2,1,3,2,1,4,3,1,3,2,2,3,2,4,3,4,4,1,4,3,2,1,3,1,1,1,2,4,2
62,12,3,4,2,3,1,4,1,3,2,4,2,2,1,4,4,1,2,3,2,3,1,4,4,4,1,1,2,3,3,4,2,4,1,2,3,3,4,3,4,4,2
63,13,4,1,2,4,4,2,4,3,3,1,3,3,4,1,3,3,2,4,3,2,2,3,2,3,3,1,3,4,4,4,1,4,1,3,4,1,4,1,1,2,3
64,3,1,4,3,3,2,2,4,1,3,3,4,3,4,1,3,3,3,4,1,3,1,4,4,1,1,3,3,4,2,3,2,1,3,2,3,3,4,3,3,1,2
65,10,3,3,1,4,1,1,4,3,1,3,1,1,4,3,3,1,4,2,4,3,4,3,2,3,1,2,1,1,1,1,2,2,2,4,2,1,1,4,3,1,2
66,7,1,4,4,4,3,2,1,2,3,1,1,2,3,2,4,3,1,4,1,1,4,2,3,2,2,2,1,3,1,3,2,2,4,1,1,1,1,1,1,1,4
67,3,3,4,3,4,3,1,2,2,3,4,4,4,4,3,2,1,4,1,2,1,3,4,2,2,2,1,1,3,1,4,4,4,3,3,2,3,2,3,2,4,4
68,17,4,3,3,2,3,3,4,4,2,4,3,2,3,4,1,3,2,3,1,3,1,1,1,3,1,1,4,3,4,1,2,3,3,3,3,3,2,3,4,2,1
69,4,3,3,2,1,1,3,3,3,4,3,1,4,2,4,1,4,3,3,4,2,2,1,1,3,3,1,4,4,3,1,3,1,1,3,3,3,4,1,1,2,1
70,7,4,3,1,3,3,3,4,1,2,1,2,4,2,2,2,2,3,2,1,4,2,1,3,2,4,3,1,2,4,3,3,3,4,1,1,1,2,1,3,4,1
71,17,1,3,2,3,4,3,3,1,1,2,1,3,3,4,1,4,2,2,4,4,1,2,4,2,1,3,1,1,3,3,1,2,2,2,4,4,1,1,2,2,4
72,17,1,3,4,1,2,3,3,1,3,2,3,2,3,3,2,1,1,4,2,3,3,4,3,2,1,2,2,1,1,3,4,4,3,3,3,1,3,4,2,1,3
73,13,3,4,3,3,4,3,3,4,3,3,1,1,3,2,2,4,1,3,1,1,1,4,3,1,4,2,3,3,2,2,2,4,1,1,4,2,3,3,2,2,1
74,6,2,2,2,1,4,2,1,1,3,3,1,3,2,4,4,4,4,2,1,4,1,3,1,1,2,1,1,2,1,2,3,4,1,2,1,2,4,2,2,2,2
75,15,1,3,4,3,2,1,1,2,1,2,4,2,4,4,3,4,1,3,2,1,1,1,4,3,2,4,1,1,1,2,1,2,3,2,4,3,4,1,1,3,1
76,15,4,3,2,4,3,2,4,3,1,2,2,3,1,4,4,2,3,1,4,2,3,2,1,2,4,2,3,1,4,2,4,1,3,3,1,1,1,3,1,2,3
77,17,2,4,1,2,3,3,1,4,2,1,1,4,4,2,2,4,1,1,2,2,2,2,2,2,2,4,2,4,3,4,2,3,2,2,4,2,3,4,3,1,4
78,1,2,3,4,1,3,1,2,3,4,1,4,4,2,3,4,3,3,4,2,4,4,4,4,1,1,3,3,4,4,1,3,1,1,4,1,3,1,3,3,3,4
79,7,4,4,3,3,3,2,1,4,1,1,1,1,1,3,1,2,4,4,1,2,3,3,2,3,2,1,1,2,1,1,2,1,2,3,4,4,3,2,2,1,3
80,12,1,4,3,1,2,4,4,1,3,2,4,2,3,1,1,4,1,2,1,1,2,4,3,2,4,2,1,1,4,3,4,4,4,4,2,4,3,4,2,1,4
81,7,2,1,3,2,1,4,3,4,2,1,4,2,4,2,2,2,2,4,4,2,1,3,1,2,1,3,2,3,2,1,1,3,4,4,2,1,3,1,4,1,4
82,16,3,4,4,1,2,4,4,1,3,2,3,4,2,3,3,2,3,4,2,3,1,3,3,4,2,2,3,3,4,1,2,3,3,1,3,4,4,4,4,2,2
83,1,3,1,2,3,3,4,1,4,2,3,3,4,1,4,4,3,1,1,3,4,2,3,1,2,1,1,4,4,3,2,1,3,1,4,4,3,1,1,3,4,1
84,11,3,1,2,4,2,4,1,4,2,1,4,4,2,2,1,1,4,3,1,1,3,4,1,4,2,4,4,2,1,1,2,2,1,3,4,3,3,3,1,3,1
